key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
STRATEGY INDICES,NIFTY500 LOW VOLATILITY 50,NIFTY500 LOWVOL50,22380.6,164.5,0.74,22220.8,22380.95,22189.95,22216.1,0.0,0.0,21.92,3.91,1.67,15,35,0,3.02,1.93,17-Jul-2026,22153.9,21956.25,21725.3,2026-07-20
STRATEGY INDICES,NIFTY500 MULTIFACTOR MQVLV 50,NIFTY500 MQVLV50,31194.35,285.05,0.92,30874.15,31208.65,30840.7,30909.3,0.0,0.0,13.25,2.52,1.99,14,36,0,-1.4,0.19,17-Jul-2026,31121.15,31135.35,31637.1,2026-07-20
STRATEGY INDICES,NIFTY50 USD,NIFTY50 USD,8719.1,-38.18,-0.43,8757.3,8757.3,8645.45,8757.28,0.0,0.0,0,0,0,,,,-13.17,-1.14,17-Jul-2026,8773.33,8819.97,0.0,2026-07-20
STRATEGY INDICES,NIFTY500 FLEXICAP QUALITY 30,NIFTY500 FLEXICAP,9927.2,50.75,0.51,9877.7,9948.15,9853.2,9876.45,0.0,0.0,33.38,7.02,1.25,12,18,0,0.0,1.69,17-Jul-2026,9902.3,9762.2,0.0,2026-07-20
STRATEGY INDICES,NIFTY TOTAL MARKET MOMENTUM QUALITY 50,NIFTY TMMQ 50,43468.65,367.7,0.85,43073.15,43473.0,43015.45,43100.95,0.0,0.0,36.53,9.95,0.97,14,35,1,0.0,-3.51,17-Jul-2026,43487.25,45051.35,0.0,2026-07-20
THEMATIC INDICES,NIFTY COMMODITIES,NIFTY COMMODITIES,9931.4,99.3,1.01,9840.7,9934.2,9824.65,9832.1,10569.65,8560.6,14.22,2.13,1.82,3,27,0,11.0,-1.24,17-Jul-2026,9842.1,10055.8,8947.25,2026-07-20
THEMATIC INDICES,NIFTY INDIA CONSUMPTION,NIFTY CONSUMPTION,11743.15,38.15,0.33,11693.5,11756.8,11671.35,11705.0,12716.2,10298.5,39.02,7.29,0.76,9,21,0,0.38,1.05,17-Jul-2026,11667.2,11621.6,11699.15,2026-07-20
THEMATIC INDICES,NIFTY CPSE,NIFTY CPSE,6674.45,59.0,0.89,6628.4,6695.8,6610.8,6615.45,7593.35,6101.9,12.6,2.13,2.81,1,10,0,2.06,-2.78,17-Jul-2026,6685.75,6865.05,6540.0,2026-07-20
THEMATIC INDICES,NIFTY ENERGY,NIFTY ENERGY,39683.85,406.85,1.04,39273.1,39708.8,39236.35,39277.0,41828.55,32890.3,14.32,2.31,1.93,6,34,0,9.53,-2.13,17-Jul-2026,39220.35,40548.1,36231.65,2026-07-20
THEMATIC INDICES,NIFTY INFRASTRUCTURE,NIFTY INFRA,9450.7,73.35,0.78,9354.65,9451.05,9347.8,9377.35,9792.6,8426.65,21.17,2.9,1.09,5,25,0,2.54,-0.64,17-Jul-2026,9381.15,9511.85,9216.9,2026-07-20
