symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
PRESTIGE,EQ,1690.7,1691.4,1660.0,1669.2,1693.0,-1.41,201355,3371.608933,N,03-Sep-2025,Dividend - Rs 1.80 Per Share,-1.41,FOSec,2026-07-20
FORCEMOT,EQ,18280.0,18334.0,17969.0,18030.0,18244.0,-1.17,29497,5357.2805364,N,10-Sep-2025,Dividend - Rs 40 Per Share,-1.17,FOSec,2026-07-20
UPL,EQ,613.5,613.85,605.35,609.55,616.6,-1.14,1367760,8321.041512,N,17-Jul-2026,Dividend - Rs 6 Per Share,-1.14,FOSec,2026-07-20
ANGELONE,EQ,328.05,329.8,324.1,325.2,328.95,-1.14,4095809,13366.2630906,N,21-Jul-2026,Interim Dividend - Re 1 Per Share,-1.14,FOSec,2026-07-20
CHOLAFIN,EQ,1789.9,1789.9,1756.1,1785.3,1804.9,-1.09,578612,10265.5605204,N,21-Jul-2026,Dividend - Re 0.70 Per Share,-1.09,FOSec,2026-07-20
SBILIFE,EQ,1831.0,1835.0,1803.4,1809.5,1829.4,-1.09,172772,3139.8719419999998,N,06-Mar-2026,Interim Dividend - Rs 2.70 Per Share,-1.09,FOSec,2026-07-20
TVSMOTOR,EQ,3619.8,3619.8,3550.1,3581.5,3618.2,-1.01,264933,9478.3489812,N,30-Mar-2026,Interim Dividend - Rs 12 Per Share,-1.01,FOSec,2026-07-20
HYUNDAI,EQ,1990.0,2004.9,1972.7,1974.7,1993.3,-0.93,207562,4122.9492994,N,05-Aug-2025,Dividend - Rs 21 Per Share,-0.93,FOSec,2026-07-20
AASTHA,EQ,115.0,122.0,105.33,107.79,116.14,-7.19,4033129,4557.8390829,N,-,-,-7.19,allSec,2026-07-20
GNA,EQ,568.8,576.8,523.1,526.65,567.05,-7.12,1335179,7200.8873828,N,23-Jun-2026,Dividend - Rs 3 Per Share,-7.12,allSec,2026-07-20
JAYNECOIND,EQ,90.0,90.0,82.8,85.27,90.28,-5.55,9070336,7808.6522624,N,20-Sep-2024,Annual General Meeting,-5.55,allSec,2026-07-20
CAMPUS,EQ,232.8,232.8,220.84,223.3,235.97,-5.37,3930266,8857.6404842,N,10-Sep-2025,Dividend - Re 0.30 Per Share,-5.37,allSec,2026-07-20
AXISBANK,EQ,1275.0,1284.0,1249.1,1257.9,1328.5,-5.31,20905511,263911.17086400004,N,10-Jul-2026,Dividend - Re 1 Per Share,-5.31,allSec,2026-07-20
ONWARDTEC,EQ,280.35,282.9,270.2,270.8,285.8,-5.25,96835,265.424735,N,03-Jul-2026,Dividend - Rs 8 Per Share,-5.25,allSec,2026-07-20
TFL,EQ,11.0,11.49,10.3,10.68,11.27,-5.24,19019,2.0103082999999997,N,04-Nov-2022,Rights 1:1,-5.24,allSec,2026-07-20
CURAA,EQ,78.0,78.0,73.26,74.0,78.0,-5.13,186,0.1394814,N,-,-,-5.13,allSec,2026-07-20
JAIPURKURT,EQ,27.2,28.35,26.0,26.49,27.91,-5.09,77417,20.7245309,N,23-Sep-2024,Annual General Meeting,-5.09,allSec,2026-07-20
CHEMBONDCH,BE,236.0,236.0,229.48,229.48,241.55,-5.0,14217,32.7346425,N,07-Aug-2025,Dividend - Rs 1.25 Per Share,-5.0,allSec,2026-07-20
RELINFRA,BE,63.12,67.88,63.12,63.12,66.44,-5.0,1961188,1248.8845184,N,12-Sep-2018,Annual General Meeting/Dividend Rs 9.50 Per Share,-5.0,allSec,2026-07-20
MTARTECH,BE,5744.0,5744.0,5744.0,5744.0,6046.0,-5.0,59096,3394.47424,N,04-Aug-2023,Annual General Meeting,-5.0,allSec,2026-07-20
GSLSU,EQ,26.55,27.72,25.47,25.47,26.81,-5.0,347293,89.254301,N,-,-,-5.0,allSec,2026-07-20
AFFORDABLE,BE,201.51,201.51,191.44,191.44,201.51,-5.0,14039,27.1668689,N,-,-,-5.0,allSec,2026-07-20
VIPULLTD,BE,14.86,14.86,14.86,14.86,15.64,-4.99,38963,5.789901800000001,N,13-Sep-2024,Annual General Meeting,-4.99,allSec,2026-07-20
RUBYMILLS,BE,401.8,419.0,392.95,392.95,413.6,-4.99,16609,66.2018131,N,04-Sep-2025,Dividend - Rs 1.75 Per Share,-4.99,allSec,2026-07-20
AQYLON,EQ,31.77,31.77,31.77,31.77,33.44,-4.99,49397,15.693426899999999,N,05-Mar-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-4.99,allSec,2026-07-20
UFBL,EQ,667.0,696.4,666.85,666.85,701.9,-4.99,110896,747.5942944,N,-,-,-4.99,allSec,2026-07-20
DELPHIFX,BE,6.87,6.87,6.87,6.87,7.23,-4.98,84932,5.834828399999999,N,13-Feb-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-4.98,allSec,2026-07-20
NATIONSTD,EQ,392.9,392.9,392.9,392.9,413.5,-4.98,3440,13.51576,N,-,-,-4.98,allSec,2026-07-20
